customer_id,signup_date,city,customer_type
CUST201,12-08-2023,bangalore,returning
CUST202,02/01/2024,Mumbai,NEW
CUST203,18-10-23,DELHI,Returning
CUST204,25-11-2023,Hyderabad,returning
CUST205,04-01-2024,Bangalore,new
CUST206,30-09-2023,Pune,Returning
CUST207,15-12-2023,mumbai,Returning
CUST208,01-01-2024,Delhi,new
CUST209,20-07-2023,Hyderabad,Returning
CUST210,NULL,Pune,Returning
CUST211,10-01-2024,bangalore,New
CUST212,09/01/2024,Mumbai,returning
CUST213,11-01-24,DELHI,Returning
CUST214,2024-01-11,Hyderabad,returning
CUST215,NULL,Bangalore,NEW
CUST216,2023-12-01,Pune,Returning
CUST217,2024-01-13,mumbai,Returning
CUST218,13-01-24,Delhi,new
CUST219,2023-11-20,Hyderabad,Returning
CUST220,2023-10-15,Pune,Returning
CUST221,2024-01-15,Bangalore,New
CUST222,15/01/2024,Mumbai,New
CUST223,16-01-24,Delhi,Returning
CUST224,2024-01-16,Hyderabad,Returning
CUST225,17-01-2024,Bangalore,new
CUST226,2023-09-10,Pune,Returning
CUST227,18-01-24,Mumbai,Returning
CUST228,2024-01-18,Delhi,New
CUST229,NULL,Hyderabad,Returning
CUST230,2023-08-05,Pune,Returning
