product_id,product_name,category,brand
PROD01,Milk 1L,dairy,Amul
PROD02,Bread loaf,Bakery,britannia
PROD03,Potato Chips,Snacks,Lays
PROD04,Fresh Apples,Fruits,Local farm
PROD05,Soft drink 500ml,beverages,Pepsi
PROD06,Basmati Rice 5 KG,Groceries,India gate
PROD07,Tooth paste,Personal care,Colgate
PROD08,Chocolate bar,Confectionary,Cadbury
PROD09,Cooking Oil 1L,grocery,Fortune
PROD10,Curd 500 G,Dairy,AMUL
PROD11,Brown Bread,bakery,Britannia
PROD12,Orange Juice 1L,Beverages,tropicana
PROD13,Bananas,fruits,Local Farm
PROD14,Almonds 250g,Dry fruits,Tata
PROD15,Green Tea,beverages,Lipton
PROD16,Sugar 1kg,Grocery,tata
PROD17,Salt 1kg,grocery,Tata
PROD18,Ice Cream,Frozen,Amul
PROD19,Paneer 200g,dairy,Amul
PROD20,Cookies Pack,Bakery,Britannia
PROD21,Shampoo,Personal Care,Dove
PROD22,Soap Bar,personal care,Lux
PROD23,Atta 5kg,groceries,Aashirvaad
PROD24,Tea Powder,Beverages,Tata Tea
PROD25,Cornflakes,breakfast,Kelloggs
PROD26,Butter 500g,Dairy,amul
PROD27,Cheese Slices,dairy,Amul
PROD28,Jam Bottle,Bakery,Kissan
PROD29,Noodles,Snacks,Maggi
PROD30,Tomato Ketchup,grocery,Kissan
