order_id,product_id,quantity,selling_price,mrp
ORD1001,PROD01,2,120,140
ORD1001,PROD02,1,180,200
ORD1002,PROD03,three,90,100
ORD1003,PROD04,2,250,280
ORD1004,PROD01,1,120,140
ORD1005,PROD05,2,70,80
ORD1006,PROD06,1,300,330
ORD1007,PROD02,2,180,200
ORD1008,PROD03,-1,90,100
ORD1009,PROD04,1,NULL,280
ORD1011,PROD01,1,120,140
ORD1012,PROD03,2,90,100
ORD1013,PROD04,two,250,280
ORD1014,PROD02,1,180,200
ORD1015,PROD05,-2,70,80
ORD1016,PROD06,1,300,330
ORD1017,PROD02,2,180,200
ORD1018,PROD03,1,NULL,100
ORD1019,PROD04,1,250,280
ORD1020,PROD01,3,120,140
ORD1021,PROD05,2,70,80
ORD1022,PROD03,three,90,100
ORD1023,PROD06,1,300,330
ORD1024,PROD02,2,180,200
ORD1025,PROD01,1,120,140
ORD1026,PROD04,1,250,280
ORD1027,PROD03,2,90,100
ORD1028,PROD05,1,70,NULL
ORD1029,PROD06,-1,300,330
ORD1030,PROD02,1,180,200
