order_id,customer_id,order_date,city,order_status,payment_method,order_value
ORD1001,CUST201,05-01-2024,bangalore,completed,UPI,645
ORD1002,CUST202,2024/01/05,Mumbai,Cancel,credit card,430
ORD1003,CUST203,06-01-24,DELHI,Completed,CASH,NULL
ORD1004,CUST204,2024-01-06,Hyderabad,Completed,UPI,520
ORD1005,CUST205,07-01-2024,Bangalore,CANCELLED,DebitCard,310
ORD1006,CUST206,2024-01-07,Pune,Completed,UPI,760
ORD1007,CUST207,08-01-2024,mumbai,Completed,Credit Card,890
ORD1008,CUST208,2024-01-08,NULL,cancel,upi,450
ORD1009,CUST209,09-01-2024,Hyderabad,Completed,Cash,670
ORD1010,CUST210,2024-01-09,Pune,Completed,Debit Card,NULL
ORD1011,CUST211,10-01-2024,bangalore,Completed,upi,720
ORD1012,CUST212,2024/01/10,Mumbai,cancelled,CreditCard,560
ORD1013,CUST213,11-01-24,DELHI,Completed,CASH,890
ORD1014,CUST214,2024-01-11,hyderabad,complete,UPI,430
ORD1015,CUST215,12-01-2024,Bangalore,Cancel,Debit Card,NULL
ORD1016,CUST216,2024-01-12,Pune,Completed,UPI,610
ORD1017,CUST217,13-01-24,Mumbai,Completed,credit card,980
ORD1018,CUST218,2024-01-13,delhi,CANCELLED,UPI,350
ORD1019,CUST219,14-01-2024,Hyderabad,Completed,Cash,770
ORD1020,CUST220,2024-01-14,Pune,Completed,DebitCard,690
ORD1021,CUST221,15/01/2024,Bangalore,Completed,UPI,540
ORD1022,CUST222,2024-01-15,Mumbai,cancel,UPI,410
ORD1023,CUST223,16-01-24,Delhi,Completed,Cash,860
ORD1024,CUST224,2024-01-16,Hyderabad,Completed,upi,590
ORD1025,CUST225,17-01-2024,bangalore,CANCELLED,Credit Card,300
ORD1026,CUST226,2024-01-17,Pune,Completed,Debit Card,740
ORD1027,CUST227,18-01-24,Mumbai,Completed,CASH,920
ORD1028,CUST228,2024-01-18,Delhi,cancelled,upi,480
ORD1029,CUST229,19-01-2024,Hyderabad,Completed,Cash,NULL
ORD1030,CUST230,2024-01-19,Pune,Completed,UPI,650
